VizChoice Query Parameter,Description,Macro
distribution_platform_code,Distribution Platform Code,{{distribution_platform_code}}
insertion_platform_code,"Insertion Platform Code
",{{insertion_platform_code}}
app_storeurl,"Application Store url.
Note: When the AdCall is from an App.",{{app_storeurl}}
app_storeid,"Application Store identifier.
Note: When the AdCall is from an App.",{{app_storeid}}
app_name,"Application Name.
Note: When the AdCall is from an App.",{{app_name}}
app_domain,"Application Domain.
Note: When the AdCall is from an App.",{{app_domain}}
site_name,"Site Name.
Note: When the AdCall is from a Site.",{{site_name}}
site_domain,"Site Domain.
Note: When the AdCall is from a Site.",{{site_domain}}
context,"Delivery context (linear, vod, startover, npvr, timeshift).",{{context}}
response_type,"Indicates if the ad Response expected is for a full Break, a partial Break, a single Ad or multiple Breaks.
break: Full Break
ad: Single Ad
partial: Partial Break
multiple: Multiple Break

Note: Full Break: default for Linear. Multiple Breaks: default for VOD.",{{response_type}}
output,"Indicates the expected response format.
vast: VAST Default version: VAST 3
vast4.2: VAST version 4.2
vmap: VMAP
Note: Other formats available through template",{{output}}
break_type,"Break type: preroll, midroll, postroll
Note: For response type ad, break, partial",{{break_type}}
channel_code,Channel Code,{{channel_code}}
network_name,Network Name,{{network_name}}
language,"Channel or Content Language
ISO 639-1 (two-letter) or ISO 639-2 (three-letter)",{{language}}
w,Width of the video player in pixels,{{w}}
h,Height of the video player in pixels,{{h}}
inapp_browser,"Indicates if the call provides from an application or a bowser:
inapp: call from an application
browser: call from a browser",{{inapp_browser}}
os_code,"os: 
0 other
2 android
3 appletv
8 chromeos
10 fireos
11 firefoxos
13 ios
14 linux
15 macos
25 tizen
27 webos
28 windows
1001 androidtv
1002 vidaaos
1003 titanos",{{os_code}}
os_name,"os: 
0 other
2 android
3 appletv
8 chromeos
10 fireos
11 firefoxos
13 ios
14 linux
15 macos
25 tizen
27 webos
28 windows
1001 androidtv
1002 vidaaos
1003 titanos",{{os_name}}
device_type_code,"Device type:
0 other
2 desktop
3 ctv
4 phone
5 tablet
6 connecteddevice
7 box
1001 smartappliance",{{device_type_code}}
device_type_name,"Device type:
0 other
2 desktop
3 ctv
4 phone
5 tablet
6 connecteddevice
7 box
1001 smartappliance",{{device_type_name}}
device_brand_name,"Device name:
Apple TV, Samsung, LG, Sony, Vizio, TCL, Hisense, Panasonic, Philips, Sharp, Xiaomi, Roku
Amazon Fire TV, Google Chromecast
NVIDIA Shield, Xiaomi Mi Box
PlayStation, Xbox, Nintendo Switch
Comcast Xfinity, Sky Q, Dish Network, DirecTV, Spectrum, Vodafone TV, Verizon Fios
...",{{device_brand_name}}
device_make,Device Make,{{device_make}}
device_model,Device Model,{{device_model}}
"break_duration
or
break_duration_s","Break duration in ms
or
Break duration in seconds
Note: For Linear only.","{{break_duration
or
break_duration_s}}"
cb,"Cache Buster.
A random positive numerical value, between 1000000000 and 9999999999.",{{cb}}
stream_id,Stream Id.,{{stream_id}}
stream_uuid,Stream uuid.,{{stream_uuid}}
