CHANNEL,SCTE-35,PRE-ROLL,AD FREQUENCY,AD DURATION,PLAYOUT,HLS (vizionR old),NEW HLS (viloud),ORIGINE,EPG (old),NEW EPG,BPK_CDN_PROD_URL,channel_code,STATUS,COMMENTAIRES
NETRADIO VISION,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,https://44941ccd-953e-41ca-8330-78a48606168c.s3.gra.io.cloud.ovh.net/netradiovisionen/master.m3u8,https://app.viloud.tv/hls/channel/a46f75b19af4b8af8008f1ee66c893ac.m3u8,https://tackendo.tv/live/channel-11/master.m3u8,https://ns3137099.ip-51-77-134.eu/epg/netradiovisionen/EPG.xml,https://tackendo.tv/api/channels/channel-11/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbf570763d7c089a379.cdn.broadpeak.io/live/channel-11/master.m3u8?bpkio_serviceid=f23b3df742bb9fbf23d016024ae3b895,netradiovision,OK,"26/03/2026 => changement du service dans BPK OK. CDN distribution OK. Update EPG Viznet OK
19/05/2026 => Remise à plat et à jour des origine / EPG / CDN, suite au nouveau playout Netradio"
MUSIC RISING,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,https://44941ccd-953e-41ca-8330-78a48606168c.s3.gra.io.cloud.ovh.net/fastmusicrising/index.m3u8,,https://tackendo.tv/live/channel-01/master.m3u8,https://ns3137099.ip-51-77-134.eu/epg/fastmusicrising/EPG.xml,https://tackendo.tv/api/channels/channel-01/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbffae073c3763e61dc.cdn.broadpeak.io/live/channel-01/master.m3u8?bpkio_serviceid=f23b3df742bb9fbf2f6d084d1be03280,musicrising,OK,"26/03/2026 => url edge OLD - en attente du nouveau playout de la part de Christophe
19/05/2026 => Remise à plat et à jour des origine / EPG / CDN, suite au nouveau playout Netradio"
SUMMER VIBES,TRUE,TRUE,Every 30 minutes,120 seconds,NetRadio,,,https://tackendo.tv/live/channel-05/master.m3u8,,https://tackendo.tv/api/channels/channel-05/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbfc25d3ee09ff0b1bc.cdn.broadpeak.io/live/channel-05/master.m3u8?bpkio_serviceid=f23b3df742bb9fbf924064537fe40b0d,summervibes,OK,"29/05/2026 => reçu ce jour, création du CDN Edge le même jour / EPG OK"
MADE IN FRANCE,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,Soon,,https://tackendo.tv/live/channel-15/master.m3u8,Soon,https://tackendo.tv/api/channels/channel-15/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbf179ce4fae10de92a.cdn.broadpeak.io/live/channel-15/master.m3u8?bpkio_serviceid=f23b3df742bb9fbf7322b2b4d8d2504d,madeinfrance,OK,
EDM,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,,https://app.viloud.tv/hls/channel/a9ac1f20ac3c52dbbd5108f2a7fda936.m3u8,https://tackendo.tv/live/channel-10/master.m3u8,n/a,https://tackendo.tv/api/channels/channel-10/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbfe7c1d788835e9e35.cdn.broadpeak.io/live/channel-10/master.m3u8?bpkio_serviceid=f23b3df742bb9fbfaf291db2c74b260f,edm,OK,"03/2026 => The source is not compatible because of the following issue(s): Lack of CODECS attribute in EXT-X-STREAM-INF tag is not supported.. Lack of CODECS attribute in EXT-X-STREAM-INF tag is not supported.. Lack of CODECS attribute in EXT-X-STREAM-INF tag is not supported.. Lack of CODECS attribute in EXT-X-STREAM-INF tag is not supported.. timeout of 950ms exceeded => en cours d'investigation côté BroadPeak
01/06/2026 => OK"
WINTER AMBIENCE,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,,https://app.viloud.tv/hls/channel/4fe3a760bbe6d4ea54e19875f4616e60.m3u8,https://tackendo.tv/live/channel-07/master.m3u8,n/a,https://tackendo.tv/api/channels/channel-07/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbfe78d677574ccf038.cdn.broadpeak.io,winterambience,OK,
LO-FI,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,,https://app.viloud.tv/hls/channel/8e8d859ec9515d93c4f075ea5151c200.m3u8,https://tackendo.tv/live/channel-04/master.m3u8,n/a,https://tackendo.tv/api/channels/channel-04/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbfcba7dbaf4c4cb512.cdn.broadpeak.io,lofi,OK,
SYNTHWAVE,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,,https://app.viloud.tv/hls/channel/4e3218a20cf7ba89dd3dcb98d9a407ed.m3u8,https://tackendo.tv/live/channel-08/master.m3u8,n/a,https://tackendo.tv/api/channels/channel-08/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbf3571bcaac012bad1.cdn.broadpeak.io,synthwave,OK,
EPIC,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,,https://app.viloud.tv/hls/channel/224da3582b9a0dc3a04a3e279a4afbb9.m3u8,https://tackendo.tv/live/channel-09/master.m3u8,n/a,https://tackendo.tv/api/channels/channel-09/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbf791003998bf862e1.cdn.broadpeak.io,epic,OK,
URBAN STREET,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,,https://app.viloud.tv/hls/channel/b6e9864380c23933f449796527dede50.m3u8,https://tackendo.tv/live/channel-12/master.m3u8,n/a,https://tackendo.tv/api/channels/channel-12/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbf41ac91b95e01a50e.cdn.broadpeak.io,urbanstreet,OK,
ZWEESTER,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,,https://app.viloud.tv/hls/channel/3168bcb2a192aadc060cdde862d0cf7f.m3u8,https://tackendo.tv/live/channel-13/master.m3u8,n/a,https://tackendo.tv/api/channels/channel-13/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbf9f3362679d786df5.cdn.broadpeak.io,zweester,OK,
FIREPLACE,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,,,https://tackendo.tv/live/channel-06/master.m3u8,,https://tackendo.tv/api/channels/channel-06/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbf3bc5d992ed9004ef.cdn.broadpeak.io,fireplace,OK,
AWE: COSMOS,TRUE,TRUE,Every 12 minutes,120 seconds,NetRadio,,,https://tackendo.tv/live/channel-16/master.m3u8,,https://tackendo.tv/api/channels/channel-16/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbffde33758b3646842.cdn.broadpeak.io/live/channel-16/master.m3u8?bpkio_serviceid=f23b3df742bb9fbf1e7e6b0d2ee26760,cosmos,OK,Done le 16/06/2026
PIANO DREAMS,TRUE,TRUE,Every 13 minutes,120 seconds,NetRadio,,,https://tackendo.tv/live/channel-17/master.m3u8,,https://tackendo.tv/api/channels/channel-17/epg?days_backward=3&days_forward=7,https://362a33c2f23b3df742bb9fbf80b5d920603b925f.cdn.broadpeak.io/live/channel-17/master.m3u8?bpkio_serviceid=f23b3df742bb9fbfbb83e0a57ae55dd3,pianodreams,OK,Done le 20/07/2026
HALLOWEEN,TRUE,TRUE,Every 13 minutes,120 seconds,NetRadio,,https://app.viloud.tv/hls/channel/22165a7a70667280807fa71118c465f2.m3u8,https://tackendo.tv/live/channel-19/master.m3u8,n/a,https://tackendo.tv/api/channels/channel-19/epg?days_backward=3&days_forward=7,,,,
EXPAT TV,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,Soon,,,Soon,,,,,
CHIC TV,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,Soon,,,Soon,,,,,
FINANCE & VOUS,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,Soon,,,Soon,,,,,
JUST DO BIZ,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,Soon,,,Soon,,,,,
,,,,,,,,,,,,,,
CHRISTMAS MUSIC,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,,https://app.viloud.tv/hls/channel/3192af3497e988b45e9f02bf4c4d2d63.m3u8,,n/a,,,,,
TZIK,TRUE,TRUE,Every 6 minutes,120 seconds,NetRadio,,https://app.viloud.tv/hls/channel/b28719ba10c3fb0a11d95f94c1ed71fa.m3u8,,n/a,,,,,
