"Date","Ad Requests","Ad Opportunities","Impressions","Channel Revenue","Channel eCPM","Fill Rate (Ad Req)","Fill Rate (Ad Ops)"
"01/01/2024",0,0,0,0,0,0,0
"01/02/2024",0,0,0,0,0,0,0
"01/03/2024",0,0,0,0,0,0,0
"01/04/2024",0,0,0,0,0,0,0
"01/05/2024",0,0,0,0,0,0,0
"01/06/2024",0,0,0,0,0,0,0
"01/07/2024",0,0,0,0,0,0,0
"01/08/2024",0,0,0,0,0,0,0
"01/09/2024",0,0,0,0,0,0,0
"01/10/2024",0,0,0,0,0,0,0
"01/11/2024",0,0,0,0,0,0,0
"01/12/2024",0,0,0,0,0,0,0
"01/13/2024",0,0,0,0,0,0,0
"01/14/2024",0,0,0,0,0,0,0
"01/15/2024",0,0,0,0,0,0,0
"01/16/2024",0,0,0,0,0,0,0
"01/17/2024",0,0,0,0,0,0,0
"01/18/2024",0,0,0,0,0,0,0
"01/19/2024",0,0,0,0,0,0,0
"01/20/2024",0,0,0,0,0,0,0
"01/21/2024",0,0,0,0,0,0,0
"01/22/2024",0,0,0,0,0,0,0
"01/23/2024",0,0,0,0,0,0,0
"01/24/2024",0,0,0,0,0,0,0
"01/25/2024",0,0,0,0,0,0,0
"01/26/2024",0,0,0,0,0,0,0
"01/27/2024",0,0,0,0,0,0,0
"01/28/2024",0,0,0,0,0,0,0
"01/29/2024",0,0,0,0,0,0,0
"01/30/2024",0,0,0,0,0,0,0
"01/31/2024",0,0,0,0,0,0,0
"02/01/2024",0,0,0,0,0,0,0
"02/02/2024",0,0,0,0,0,0,0
"02/03/2024",0,0,0,0,0,0,0
"02/04/2024",0,0,0,0,0,0,0
"02/05/2024",0,0,0,0,0,0,0
"02/06/2024",0,0,0,0,0,0,0
"02/07/2024",0,0,0,0,0,0,0
"02/08/2024",0,0,0,0,0,0,0
"02/09/2024",0,0,0,0,0,0,0
"02/10/2024",0,0,0,0,0,0,0
"02/11/2024",0,0,0,0,0,0,0
"02/12/2024",0,0,0,0,0,0,0
"02/13/2024",0,0,0,0,0,0,0
"02/14/2024",0,0,0,0,0,0,0
"02/15/2024",0,0,0,0,0,0,0
"02/16/2024",0,0,0,0,0,0,0
"02/17/2024",0,0,0,0,0,0,0
"02/18/2024",0,0,0,0,0,0,0
"02/19/2024",0,0,0,0,0,0,0
"02/20/2024",0,0,0,0,0,0,0
"02/21/2024",0,0,0,0,0,0,0
"02/22/2024",0,0,0,0,0,0,0
"02/23/2024",0,0,0,0,0,0,0
"02/24/2024",0,0,0,0,0,0,0
"02/25/2024",0,0,0,0,0,0,0
"02/26/2024",0,0,0,0,0,0,0
"02/27/2024",0,0,0,0,0,0,0
"02/28/2024",0,0,0,0,0,0,0
"02/29/2024",0,0,0,0,0,0,0
"03/01/2024",0,0,0,0,0,0,0
"03/02/2024",0,0,0,0,0,0,0
"03/03/2024",0,0,0,0,0,0,0
"03/04/2024",0,0,0,0,0,0,0
"03/05/2024",0,0,0,0,0,0,0
"03/06/2024",0,0,0,0,0,0,0
"03/07/2024",0,0,0,0,0,0,0
"03/08/2024",0,0,0,0,0,0,0
"03/09/2024",0,0,0,0,0,0,0
"03/10/2024",0,0,0,0,0,0,0
"03/11/2024",0,0,0,0,0,0,0
"03/12/2024",0,0,0,0,0,0,0
"03/13/2024",0,0,0,0,0,0,0
"03/14/2024",0,0,0,0,0,0,0
"03/15/2024",0,0,0,0,0,0,0
"03/16/2024",0,0,0,0,0,0,0
"03/17/2024",0,0,0,0,0,0,0
"03/18/2024",0,0,0,0,0,0,0
"03/19/2024",0,0,0,0,0,0,0
"03/20/2024",0,0,0,0,0,0,0
"03/21/2024",0,0,0,0,0,0,0
"03/22/2024",0,0,0,0,0,0,0
"03/23/2024",0,0,0,0,0,0,0
"03/24/2024",0,0,0,0,0,0,0
"03/25/2024",0,0,0,0,0,0,0
"03/26/2024",0,0,0,0,0,0,0
"03/27/2024",0,0,0,0,0,0,0
"03/28/2024",0,0,0,0,0,0,0
"03/29/2024",0,0,0,0,0,0,0
"03/30/2024",0,0,0,0,0,0,0
"03/31/2024",0,0,0,0,0,0,0
"04/01/2024",0,0,0,0,0,0,0
"04/02/2024",0,0,0,0,0,0,0
"04/03/2024",0,0,0,0,0,0,0
"04/04/2024",0,0,0,0,0,0,0
"04/05/2024",0,0,0,0,0,0,0
"04/06/2024",0,0,0,0,0,0,0
"04/07/2024",0,0,0,0,0,0,0
"04/08/2024",0,0,0,0,0,0,0
"04/09/2024",0,0,0,0,0,0,0
"04/10/2024",0,0,0,0,0,0,0
"04/11/2024",0,0,0,0,0,0,0
"04/12/2024",0,0,0,0,0,0,0
"04/13/2024",0,0,0,0,0,0,0
"04/14/2024",0,0,0,0,0,0,0
"04/15/2024",0,0,0,0,0,0,0
"04/16/2024",0,0,0,0,0,0,0
"04/17/2024",0,0,0,0,0,0,0
"04/18/2024",0,0,0,0,0,0,0
"04/19/2024",0,0,0,0,0,0,0
"04/20/2024",0,0,0,0,0,0,0
"04/21/2024",0,0,0,0,0,0,0
"04/22/2024",0,0,0,0,0,0,0
"04/23/2024",0,0,0,0,0,0,0
"04/24/2024",0,0,0,0,0,0,0
"04/25/2024",0,0,0,0,0,0,0
"04/26/2024",0,0,0,0,0,0,0
"04/27/2024",0,0,0,0,0,0,0
"04/28/2024",0,0,0,0,0,0,0
"04/29/2024",0,0,0,0,0,0,0
"04/30/2024",0,0,0,0,0,0,0
"05/01/2024",0,0,0,0,0,0,0
"05/02/2024",0,0,0,0,0,0,0
"05/03/2024",0,0,0,0,0,0,0
"05/04/2024",0,0,0,0,0,0,0
"05/05/2024",0,0,0,0,0,0,0
"05/06/2024",0,0,0,0,0,0,0
"05/07/2024",0,0,0,0,0,0,0
"05/08/2024",0,0,0,0,0,0,0
"05/09/2024",0,0,0,0,0,0,0
"05/10/2024",0,0,0,0,0,0,0
"05/11/2024",0,0,0,0,0,0,0
"05/12/2024",0,0,0,0,0,0,0
"05/13/2024",0,0,0,0,0,0,0
"05/14/2024",0,0,0,0,0,0,0
"05/15/2024",0,0,0,0,0,0,0
"05/16/2024",0,0,0,0,0,0,0
"05/17/2024",0,0,0,0,0,0,0
"05/18/2024",0,0,0,0,0,0,0
"05/19/2024",0,0,0,0,0,0,0
"05/20/2024",0,0,0,0,0,0,0
"05/21/2024",0,0,0,0,0,0,0
"05/22/2024",0,0,0,0,0,0,0
"05/23/2024",0,0,0,0,0,0,0
"05/24/2024",0,0,0,0,0,0,0
"05/25/2024",0,0,0,0,0,0,0
"05/26/2024",0,0,0,0,0,0,0
"05/27/2024",0,0,0,0,0,0,0
"05/28/2024",0,0,0,0,0,0,0
"05/29/2024",0,0,0,0,0,0,0
"05/30/2024",0,0,0,0,0,0,0
"05/31/2024",0,0,0,0,0,0,0
"06/01/2024",0,0,0,0,0,0,0
"06/02/2024",0,0,0,0,0,0,0
"06/03/2024",0,0,0,0,0,0,0
"06/04/2024",0,0,0,0,0,0,0
"06/05/2024",0,0,0,0,0,0,0
"06/06/2024",0,0,0,0,0,0,0
"06/07/2024",0,0,0,0,0,0,0
"06/08/2024",0,0,0,0,0,0,0
"06/09/2024",0,0,0,0,0,0,0
"06/10/2024",0,0,0,0,0,0,0
"06/11/2024",0,0,0,0,0,0,0
"06/12/2024",0,0,0,0,0,0,0
"06/13/2024",0,0,0,0,0,0,0
"06/14/2024",0,0,0,0,0,0,0
"06/15/2024",0,0,0,0,0,0,0
"06/16/2024",0,0,0,0,0,0,0
"06/17/2024",0,0,0,0,0,0,0
"06/18/2024",0,0,0,0,0,0,0
"06/19/2024",0,0,0,0,0,0,0
"06/20/2024",0,0,0,0,0,0,0
"06/21/2024",0,0,0,0,0,0,0
"06/22/2024",0,0,0,0,0,0,0
"06/23/2024",0,0,0,0,0,0,0
"06/24/2024",0,0,0,0,0,0,0
"06/25/2024",0,0,0,0,0,0,0
"06/26/2024",0,0,0,0,0,0,0
"06/27/2024",0,0,0,0,0,0,0
"06/28/2024",0,0,0,0,0,0,0
"06/29/2024",0,0,0,0,0,0,0
"06/30/2024",0,0,0,0,0,0,0
"07/01/2024",0,0,0,0,0,0,0
"07/02/2024",0,0,0,0,0,0,0
"07/03/2024",0,0,0,0,0,0,0
"07/04/2024",0,0,0,0,0,0,0
"07/05/2024",0,0,0,0,0,0,0
"07/06/2024",0,0,0,0,0,0,0
"07/07/2024",0,0,0,0,0,0,0
"07/08/2024",0,0,0,0,0,0,0
"07/09/2024",0,0,0,0,0,0,0
"07/10/2024",0,0,0,0,0,0,0
"07/11/2024",0,0,0,0,0,0,0
"07/12/2024",0,0,0,0,0,0,0
"07/13/2024",0,0,0,0,0,0,0
"07/14/2024",0,0,0,0,0,0,0
"07/15/2024",0,0,0,0,0,0,0
"07/16/2024",0,0,0,0,0,0,0
"07/17/2024",0,0,0,0,0,0,0
"07/18/2024",0,0,0,0,0,0,0
"07/19/2024",0,0,0,0,0,0,0
"07/20/2024",0,0,0,0,0,0,0
"07/21/2024",0,0,0,0,0,0,0
"07/22/2024",0,0,0,0,0,0,0
"07/23/2024",0,0,0,0,0,0,0
"07/24/2024",0,0,0,0,0,0,0
"07/25/2024",0,0,0,0,0,0,0
"07/26/2024",0,0,0,0,0,0,0
"07/27/2024",0,0,0,0,0,0,0
"07/28/2024",0,0,0,0,0,0,0
"07/29/2024",0,0,0,0,0,0,0
"07/30/2024",0,0,0,0,0,0,0
"07/31/2024",0,0,0,0,0,0,0
"08/01/2024",0,0,0,0,0,0,0
"08/02/2024",0,0,0,0,0,0,0
"08/03/2024",0,0,0,0,0,0,0
"08/04/2024",0,0,0,0,0,0,0
"08/05/2024",0,0,0,0,0,0,0
"08/06/2024",0,0,0,0,0,0,0
"08/07/2024",0,0,0,0,0,0,0
"08/08/2024",0,0,0,0,0,0,0
"08/09/2024",0,0,0,0,0,0,0
"08/10/2024",0,0,0,0,0,0,0
"08/11/2024",0,0,0,0,0,0,0
"08/12/2024",0,0,0,0,0,0,0
"08/13/2024",0,0,0,0,0,0,0
"08/14/2024",0,0,0,0,0,0,0
"08/15/2024",0,0,0,0,0,0,0
"08/16/2024",0,0,0,0,0,0,0
"08/17/2024",0,0,0,0,0,0,0
"08/18/2024",0,0,0,0,0,0,0
"08/19/2024",0,0,0,0,0,0,0
"08/20/2024",0,0,0,0,0,0,0
"08/21/2024",0,0,0,0,0,0,0
"08/22/2024",0,0,0,0,0,0,0
"08/23/2024",0,0,0,0,0,0,0
"08/24/2024",0,0,0,0,0,0,0
"08/25/2024",0,0,0,0,0,0,0
"08/26/2024",0,0,0,0,0,0,0
"08/27/2024",0,0,0,0,0,0,0
"08/28/2024",0,0,0,0,0,0,0
"08/29/2024",0,0,0,0,0,0,0
"08/30/2024",0,0,0,0,0,0,0
"08/31/2024",0,0,0,0,0,0,0
"09/01/2024",0,0,0,0,0,0,0
"09/02/2024",0,0,0,0,0,0,0
"09/03/2024",0,0,0,0,0,0,0
"09/04/2024",0,0,0,0,0,0,0
"09/05/2024",0,0,0,0,0,0,0
"09/06/2024",0,0,0,0,0,0,0
"09/07/2024",0,0,0,0,0,0,0
"09/08/2024",0,0,0,0,0,0,0
"09/09/2024",0,0,0,0,0,0,0
"09/10/2024",0,0,0,0,0,0,0
"09/11/2024",0,0,0,0,0,0,0
"09/12/2024",0,0,0,0,0,0,0
"09/13/2024",0,0,0,0,0,0,0
"09/14/2024",0,0,0,0,0,0,0
"09/15/2024",0,0,0,0,0,0,0
"09/16/2024",0,0,0,0,0,0,0
"09/17/2024",0,0,0,0,0,0,0
"09/18/2024",0,0,0,0,0,0,0
"09/19/2024",0,0,0,0,0,0,0
"09/20/2024",0,0,0,0,0,0,0
"09/21/2024",0,0,0,0,0,0,0
"09/22/2024",0,0,0,0,0,0,0
"09/23/2024",0,0,0,0,0,0,0
"09/24/2024",0,0,0,0,0,0,0
"09/25/2024",0,0,0,0,0,0,0
"09/26/2024",0,0,0,0,0,0,0
"09/27/2024",0,0,0,0,0,0,0
"09/28/2024",0,0,0,0,0,0,0
"09/29/2024",0,0,0,0,0,0,0
"09/30/2024",0,0,0,0,0,0,0
"10/01/2024",0,0,0,0,0,0,0
"10/02/2024",0,0,0,0,0,0,0
"10/03/2024",0,0,0,0,0,0,0
"10/04/2024",0,0,0,0,0,0,0
"10/05/2024",0,0,0,0,0,0,0
"10/06/2024",0,0,0,0,0,0,0
"10/07/2024",0,0,0,0,0,0,0
"10/08/2024",0,0,0,0,0,0,0
"10/09/2024",0,0,0,0,0,0,0
"10/10/2024",0,0,0,0,0,0,0
"10/11/2024",0,0,0,0,0,0,0
"10/12/2024",0,0,0,0,0,0,0
"10/13/2024",0,0,0,0,0,0,0
"10/14/2024",0,0,0,0,0,0,0
"10/15/2024",0,0,0,0,0,0,0
"10/16/2024",0,0,0,0,0,0,0
"10/17/2024",0,0,0,0,0,0,0
"10/18/2024",0,0,0,0,0,0,0
"10/19/2024",0,0,0,0,0,0,0
"10/20/2024",0,0,0,0,0,0,0
"10/21/2024",0,0,0,0,0,0,0
"10/22/2024",0,0,0,0,0,0,0
"10/23/2024",0,0,0,0,0,0,0
"10/24/2024",0,0,0,0,0,0,0
"10/25/2024",0,0,0,0,0,0,0
"10/26/2024",0,0,0,0,0,0,0
"10/27/2024",0,0,0,0,0,0,0
"10/28/2024",0,0,0,0,0,0,0
"10/29/2024",0,0,0,0,0,0,0
"10/30/2024",0,0,0,0,0,0,0
"10/31/2024",0,0,0,0,0,0,0
"11/01/2024",0,0,0,0,0,0,0
"11/02/2024",0,0,0,0,0,0,0
"11/03/2024",0,0,0,0,0,0,0
"11/04/2024",0,0,0,0,0,0,0
"11/05/2024",0,0,0,0,0,0,0
"11/06/2024",0,0,0,0,0,0,0
"11/07/2024",0,0,0,0,0,0,0
"11/08/2024",0,0,0,0,0,0,0
"11/09/2024",0,0,0,0,0,0,0
"11/10/2024",0,0,0,0,0,0,0
"11/11/2024",0,0,0,0,0,0,0
"11/12/2024",0,0,0,0,0,0,0
"11/13/2024",0,0,0,0,0,0,0
"11/14/2024",0,0,0,0,0,0,0
"11/15/2024",0,0,0,0,0,0,0
"11/16/2024",0,0,0,0,0,0,0
"11/17/2024",0,0,0,0,0,0,0
"11/18/2024",0,0,0,0,0,0,0
"11/19/2024",0,0,0,0,0,0,0
"11/20/2024",0,0,0,0,0,0,0
"11/21/2024",0,0,0,0,0,0,0
"11/22/2024",0,0,0,0,0,0,0
"11/23/2024",0,0,0,0,0,0,0
"11/24/2024",0,0,0,0,0,0,0
"11/25/2024",0,0,0,0,0,0,0
"11/26/2024",0,0,0,0,0,0,0
"11/27/2024",0,0,0,0,0,0,0
"11/28/2024",0,0,0,0,0,0,0
"11/29/2024",0,0,0,0,0,0,0
"11/30/2024",0,0,0,0,0,0,0
"12/01/2024",0,0,0,0,0,0,0
"12/02/2024",0,0,0,0,0,0,0
"12/03/2024",0,0,0,0,0,0,0
"12/04/2024",0,0,0,0,0,0,0
"12/05/2024",0,0,0,0,0,0,0
"12/06/2024",0,0,0,0,0,0,0
"12/07/2024",0,0,0,0,0,0,0
"12/08/2024",0,0,0,0,0,0,0
"12/09/2024",0,0,0,0,0,0,0
"12/10/2024",0,0,0,0,0,0,0
"12/11/2024",0,0,0,0,0,0,0
"12/12/2024",0,0,0,0,0,0,0
"12/13/2024",0,0,0,0,0,0,0
"12/14/2024",0,0,0,0,0,0,0
"12/15/2024",0,0,0,0,0,0,0
"12/16/2024",0,0,0,0,0,0,0
"12/17/2024",0,0,0,0,0,0,0
"12/18/2024",0,0,0,0,0,0,0
"12/19/2024",0,0,0,0,0,0,0
"12/20/2024",0,0,0,0,0,0,0
"12/21/2024",0,0,0,0,0,0,0
"12/22/2024",0,0,0,0,0,0,0
"12/23/2024",0,0,0,0,0,0,0
"12/24/2024",0,0,0,0,0,0,0
"12/25/2024",0,0,0,0,0,0,0
"12/26/2024",0,0,0,0,0,0,0
"12/27/2024",0,0,0,0,0,0,0
"12/28/2024",0,0,0,0,0,0,0
"12/29/2024",0,0,0,0,0,0,0
"12/30/2024",0,0,0,0,0,0,0
"12/31/2024",0,0,0,0,0,0,0
"01/01/2025",0,0,0,0,0,0,0
"01/02/2025",0,0,0,0,0,0,0
"01/03/2025",0,0,0,0,0,0,0
"01/04/2025",0,0,0,0,0,0,0
"01/05/2025",0,0,0,0,0,0,0
"01/06/2025",0,0,0,0,0,0,0
"01/07/2025",0,0,0,0,0,0,0
"01/08/2025",0,0,0,0,0,0,0
"01/09/2025",0,0,0,0,0,0,0
"01/10/2025",0,0,0,0,0,0,0
"01/11/2025",0,0,0,0,0,0,0
"01/12/2025",0,0,0,0,0,0,0
"01/13/2025",0,0,0,0,0,0,0
"01/14/2025",0,0,0,0,0,0,0
"01/15/2025",0,0,0,0,0,0,0
"01/16/2025",0,0,0,0,0,0,0
"01/17/2025",0,0,0,0,0,0,0
"01/18/2025",0,0,0,0,0,0,0
"01/19/2025",0,0,0,0,0,0,0
"01/20/2025",0,0,0,0,0,0,0
"01/21/2025",0,0,0,0,0,0,0
"01/22/2025",0,0,0,0,0,0,0
"01/23/2025",0,0,0,0,0,0,0
"01/24/2025",0,0,0,0,0,0,0
"01/25/2025",0,0,0,0,0,0,0
"01/26/2025",0,0,0,0,0,0,0
"01/27/2025",0,0,0,0,0,0,0
"01/28/2025",0,0,0,0,0,0,0
"01/29/2025",0,0,0,0,0,0,0
"01/30/2025",0,0,0,0,0,0,0
"01/31/2025",0,0,0,0,0,0,0
"02/01/2025",0,0,0,0,0,0,0
"02/02/2025",0,0,0,0,0,0,0
"02/03/2025",0,0,0,0,0,0,0
"02/04/2025",0,0,0,0,0,0,0
"02/05/2025",0,0,0,0,0,0,0
"02/06/2025",0,0,0,0,0,0,0
"02/07/2025",0,0,0,0,0,0,0
"02/08/2025",0,0,0,0,0,0,0
"02/09/2025",0,0,0,0,0,0,0
"02/10/2025",0,0,0,0,0,0,0
"02/11/2025",0,0,0,0,0,0,0
"02/12/2025",0,0,0,0,0,0,0
"02/13/2025",0,0,0,0,0,0,0
"02/14/2025",0,0,0,0,0,0,0
"02/15/2025",0,0,0,0,0,0,0
"02/16/2025",0,0,0,0,0,0,0
"02/17/2025",0,0,0,0,0,0,0
"02/18/2025",0,0,0,0,0,0,0
"02/19/2025",0,0,0,0,0,0,0
"02/20/2025",0,0,0,0,0,0,0
"02/21/2025",0,0,0,0,0,0,0
"02/22/2025",0,0,0,0,0,0,0
"02/23/2025",0,0,0,0,0,0,0
"02/24/2025",0,0,0,0,0,0,0
"02/25/2025",0,0,0,0,0,0,0
"02/26/2025",0,0,0,0,0,0,0
"02/27/2025",0,0,0,0,0,0,0
"02/28/2025",0,0,0,0,0,0,0
"03/01/2025",0,0,0,0,0,0,0
"03/02/2025",0,0,0,0,0,0,0
"03/03/2025",0,0,0,0,0,0,0
"03/04/2025",0,0,0,0,0,0,0
"03/05/2025",0,0,0,0,0,0,0
"03/06/2025",0,0,0,0,0,0,0
"03/07/2025",0,0,0,0,0,0,0
"03/08/2025",0,0,0,0,0,0,0
"03/09/2025",0,0,0,0,0,0,0
"03/10/2025",0,0,0,0,0,0,0
"03/11/2025",0,0,0,0,0,0,0
"03/12/2025",0,0,0,0,0,0,0
"03/13/2025",0,0,0,0,0,0,0
"03/14/2025",0,0,0,0,0,0,0
"03/15/2025",0,0,0,0,0,0,0
"03/16/2025",0,0,0,0,0,0,0
"03/17/2025",0,0,0,0,0,0,0
"03/18/2025",0,0,0,0,0,0,0
"03/19/2025",0,0,0,0,0,0,0
"03/20/2025",0,0,0,0,0,0,0
"03/21/2025",0,0,0,0,0,0,0
"03/22/2025",0,0,0,0,0,0,0
"03/23/2025",0,0,0,0,0,0,0
"03/24/2025",0,0,0,0,0,0,0
"03/25/2025",0,0,0,0,0,0,0
"03/26/2025",0,0,0,0,0,0,0
"03/27/2025",0,0,0,0,0,0,0
"03/28/2025",0,0,0,0,0,0,0
"03/29/2025",0,0,0,0,0,0,0
"03/30/2025",0,0,0,0,0,0,0
"03/31/2025",0,0,0,0,0,0,0
"04/01/2025",0,0,0,0,0,0,0
"04/02/2025",0,0,0,0,0,0,0
"04/03/2025",0,0,0,0,0,0,0
"04/04/2025",0,0,0,0,0,0,0
"04/05/2025",0,0,0,0,0,0,0
"04/06/2025",0,0,0,0,0,0,0
"04/07/2025",1,0,0,0,0,0,0
"04/08/2025",1,0,0,0,0,0,0
"04/09/2025",0,0,0,0,0,0,0
"04/10/2025",0,0,0,0,0,0,0
"04/11/2025",0,0,0,0,0,0,0
"04/12/2025",0,0,0,0,0,0,0
"04/13/2025",0,0,0,0,0,0,0
"04/14/2025",0,0,0,0,0,0,0
"04/15/2025",0,0,0,0,0,0,0
"04/16/2025",0,0,0,0,0,0,0
"04/17/2025",4,0,0,0,0,0,0
"04/18/2025",0,0,0,0,0,0,0
"04/19/2025",0,0,0,0,0,0,0
"04/20/2025",0,0,0,0,0,0,0
"04/21/2025",0,0,0,0,0,0,0
"04/22/2025",3359,376,0,0,0,0,0
"04/23/2025",10504,1047,27,0.27,10,0.257,2.5788
"04/24/2025",7582,1214,648,6.48,10,8.5466,53.3773
"04/25/2025",6416,937,404,4.04,10,6.2968,43.1163
"04/26/2025",8011,1049,398,3.98,10,4.9682,37.9409
"04/27/2025",7971,1436,734,7.34,10,9.2084,51.1142
"04/28/2025",8313,895,323,3.23,10,3.8855,36.0894
"04/29/2025",11718,1668,832,8.32,10,7.1002,49.8801
"04/30/2025",15509,1513,579,5.79,10,3.7333,38.2683
"05/01/2025",12756,1245,477,4.77,10,3.7394,38.3133
"05/02/2025",12783,1903,656,6.56,10,5.1318,34.4719
"05/03/2025",12164,1904,870,8.7,10,7.1523,45.6933
"05/04/2025",13581,1922,829,8.29,10,6.1041,43.1322
"05/05/2025",15467,1871,742,7.42,10,4.7973,39.6579
"05/06/2025",12846,1017,280,2.8,10,2.1797,27.532
"05/07/2025",13450,2157,1019,10.19,10,7.5762,47.2415
"05/08/2025",15671,1391,1033,10.33,10,6.5918,74.2631
"05/09/2025",14349,1385,1024,10.24,10,7.1364,73.935
"05/10/2025",11373,1448,855,8.55,10,7.5178,59.047
"05/11/2025",10859,2063,1165,11.65,10,10.7284,56.4712
"05/12/2025",12903,1624,1013,10.13,10,7.8509,62.3768
"05/13/2025",36940,1357,885,8.85,10,2.3958,65.2174
"05/14/2025",94868,1377,1146,11.46,10,1.208,83.2244
"05/15/2025",61221,1506,1019,10.19,10,1.6645,67.6627
"05/16/2025",45575,1362,800,8,10,1.7553,58.7372
"05/17/2025",42885,446,102,1.02,10,0.2378,22.87
"05/18/2025",40429,795,503,5.03,10,1.2442,63.2704
"05/19/2025",36881,1109,923,9.23,10,2.5026,83.2281
"05/20/2025",40611,945,522,5.22,10,1.2854,55.2381
"05/21/2025",28714,1211,694,6.94,10,2.4169,57.308
"05/22/2025",28325,867,350,3.5,10,1.2357,40.3691
"05/23/2025",26892,318,72,0.72,10,0.2677,22.6415
"05/24/2025",29913,173,130,1.3,10,0.4346,75.1445
"05/25/2025",30961,5,0,0,0,0,0
"05/26/2025",24253,377,137,1.37,10,0.5649,36.3395
"05/27/2025",22178,0,0,0,0,0,0
"05/28/2025",24702,309,78,0.78,10,0.3158,25.2427
"05/29/2025",21818,283,172,1.72,10,0.7883,60.7774
"05/30/2025",16905,621,103,1.03,10,0.6093,16.5862
"05/31/2025",20849,801,482,4.82,10,2.3119,60.1748
"06/01/2025",20699,553,481,4.81,10,2.3238,86.9801
"06/02/2025",12049,2118,1221,12.21,10,10.1336,57.6487
"06/03/2025",19456,517,457,4.57,10,2.3489,88.3946
"06/04/2025",22770,408,322,3.22,10,1.4141,78.9216
